,Category,Item_Description,Item_Description_PREPROCESSED
0,Agency Fee,Agency Fees & Commissions 3 Production Jun-2016 Ames Department Stores Inc SMAP Other Agency,agency fees commissions production ames department stores inc smap other agency
1,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Aug2009 Travel and Entertainment Air Products & Chemicals Inc /De/ Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment air products chemicals inc ground transportation miscellaneous company car field only
2,Property Services,Real Estate Store Management Lease/Rent Base Rent May-2013 Ferguson Marshall M,real estate store management lease rent base rent ferguson marshall
3,Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2010Sep Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
4,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2014Mar Butler Manufacturing Co,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only butler manufacturing
5,Property Services,Store Construction General Requirements Capital Southwest Corp General Contractor Final Site Clean Up 2006Jun,store construction general requirements capital southwest corp general contractor final site clean
6,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov 2007 Metric Capital Corp                                     /Bd,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only nov metric capital corp
7,Property Services,General Contractor Facility Construction General Requirements Final Site Clean Up Apr-2006 Evans Inc,general contractor facility construction general requirements final site clean evans inc
8,Property Services,Facility Construction General Requirements Chase Investment Counsel Corp General Contractor Final Site Clean Up Mar-2008,facility construction general requirements chase investment counsel corp general contractor final site clean
9,Labour,Contingent Labor/Temp Labor Jun-2000 Corporate Services Baird Patrick & Co Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services baird patrick inc human resources contingent labor temp labor
10,Property Services,Facility Construction Final Site Clean Up General Contractor General Requirements Apr 2016 Flightsafety International Inc,facility construction final site clean general contractor general requirements apr flightsafety international inc
11,Passenger Road Transportation,Jun2013 Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,akorn inc miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
12,Property Services,Lease/Rent Real Estate Sep-2007 E Systems Inc Store Management Base Rent,lease rent real estate systems inc store management base rent
13,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only) 2009-Mar ,travel and entertainment miscellaneous company car field only akorn inc ground transportation miscellaneous company car field only
14,Passenger Road Transportation,Comprehensive Capital Corp                              /Bd Miscellaneous Company Car (Field Only) 2008-May  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,comprehensive capital corp miscellaneous company car field only miscellaneous company car field only ground transportation travel and entertainment
15,Property Services,"Base Rent Store Management Cv Brokerage, Inc 2003May Lease/Rent Real Estate",base rent store management brokerage inc lease rent real estate
16,Property Services,Store Fixtures Sep 2010 Store Construction Impala Platinum Holdings Ltd/Adr/ Fixtures Store Fixtures,store fixtures sep store construction impala platinum holdings ltd adr fixtures store fixtures
17,Property Services,Baltimore Gas & Electric Co Base Rent 2014Jul Lease/Rent Real Estate Store Management,baltimore gas electric base rent lease rent real estate store management
18,Property Services,Store Management Base Rent Real Estate Lease/Rent Apr 2003 Barecap Inc,store management base rent real estate lease rent apr barecap inc
19,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Oct2012 Auto Leasing and Maintenance Other Corporate Services,auto passenger road transportation repair and maintenance corporate services daly john auto leasing and maintenance other corporate services
20,Property Services,Apr-2005 Arabian American Development Co Final Site Clean Up General Requirements Store Construction General Contractor,arabian american development final site clean general requirements store construction general contractor
21,Property Services,Base Rent Dec2019 Store Management Continental Casualty Co Real Estate Lease/Rent,base rent store management continental casualty real estate lease rent
22,Property Services,Store Management Base Rent Real Estate Lease/Rent Apr2012 Bancwest Corp/Hi,store management base rent real estate lease rent bancwest corp
23,Human Resources,Retirement and Pension Funds Corporate Services Essex Group Inc 2015Feb Benefits Human Resources,retirement and pension funds corporate services essex group inc benefits human resources
24,Property Services,General Requirements General Contractor Apr2012 American Pad & Paper Co Store Construction Final Site Clean Up,general requirements general contractor american pad paper store construction final site clean
25,Property Services,Base Rent Mar2008 Store Management Comforce Corp Real Estate Lease/Rent,base rent store management comforce corp real estate lease rent
26,Advertising,Post Card/Mailer SMAP El Paso Natural Gas Co Mar2014 Direct Mail Printed Collateral,post card mailer smap paso natural gas direct mail printed collateral
27,Labour,Contingent Labor/Temp Labor Corporate Services Bdi Investment Corp Oct2013 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services bdi investment corp contingent labor temp labor human resources
28,Advertising,Cone Mills Corp Post Card/Mailer Nov2015 Direct Mail Printed Collateral SMAP,cone mills corp post card mailer direct mail printed collateral smap
29,Advertising,SMAP Media Buy - Traditional Data General Corp National Advertising Newspaper 2008-Jun ,smap media buy traditional data general corp national advertising newspaper
30,Property Services,Real Estate Store Management Lease/Rent Base Rent 2000-Sep  Cazenove Inc                                            /Bd,real estate store management lease rent base rent cazenove inc
31,Agency Fee,Agency Fees & Commissions 3 Production Feb2018 Allen Group Inc SMAP Other Agency,agency fees commissions production allen group inc smap other agency
32,Property Services,American Family Life Insurance Co /Wi Base Rent 2000-Dec  Lease/Rent Real Estate Store Management,american family life insurance base rent lease rent real estate store management
33,Labour,Contingent Labor/Temp Labor Corporate Services American Cattle Co Apr 2019 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services american cattle apr contingent labor temp labor human resources
34,Agency Fee,SMAP Other Agency Production Agency Fees & Commissions 3 2019Dec Digital Equipment Corp,smap other agency production agency fees commissions digital equipment corp
35,Property Services,Dec-2003 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,erly industries inc final site clean general requirements store construction general contractor
36,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2019-Nov  Akorn Inc,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only akorn inc
37,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp Jul 2010 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment fort howard corp jul miscellaneous company car field only ground transportation
38,Advertising,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Jun-2003 Castle A M & Co,national advertising smap media buy traditional outdoor out home castle
39,Property Services,Fixtures Store Construction Store Fixtures Store Fixtures Aug2006 Amp Inc,fixtures store construction store fixtures store fixtures amp inc
40,Property Services,Fixtures Store Construction Store Fixtures Store Fixtures 2000Jun Aerovox Corp,fixtures store construction store fixtures store fixtures aerovox corp
41,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Mar-2018 Corporate Services,other corporate services auto leasing and maintenance auto leasing butler manufacturing corporate services
42,Passenger Road Transportation,Jul 2014 Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,jul akorn inc miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
