Category,Item_Description,Item_Description_PREPROCESSED
Agency Fee,Agency Fees & Commissions 3 Production Jun-2016 Ames Department Stores Inc SMAP Other Agency,agency fees commissions production ames department stores inc smap other agency
Passenger Road Transportation,Company Car (Field Only) Aug2009 Travel and Entertainment Air Products & Chemicals Inc /De/ Ground Transportation Company Car (Field Only),company car field only travel and entertainment air products chemicals inc ground transportation company car field only
Property Services,Real Estate Store Management Lease/Rent Base Rent May-2013 Ferguson Marshall M,real estate store management lease rent base rent ferguson marshall
Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2010Sep Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2014Mar Butler Manufacturing Co,ground transportation travel and entertainment company car field only company car field only butler manufacturing
Property Services,Store Construction General Requirements Capital Southwest Corp General Contractor Final Site Clean Up 2006Jun,store construction general requirements capital southwest corp general contractor final site clean
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Nov 2007 Metric Capital Corp                                     /Bd,ground transportation travel and entertainment company car field only company car field only nov metric capital corp
Property Services,General Contractor Facility Construction General Requirements Final Site Clean Up Apr-2006 Evans Inc,general contractor facility construction general requirements final site clean evans inc
Property Services,Facility Construction General Requirements Chase Investment Counsel Corp General Contractor Final Site Clean Up Mar-2008,facility construction general requirements chase investment counsel corp general contractor final site clean
Labour,Contingent Labor/Temp Labor Jun-2000 Corporate Services Baird Patrick & Co Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services baird patrick inc human resources contingent labor temp labor
Property Services,Facility Construction Final Site Clean Up General Contractor General Requirements Apr 2016 Flightsafety International Inc,facility construction final site clean general contractor general requirements apr flightsafety international inc
Passenger Road Transportation,Jun2013 Akorn Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Property Services,Lease/Rent Real Estate Sep-2007 E Systems Inc Store Management Base Rent,lease rent real estate systems inc store management base rent
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Akorn Inc Ground Transportation Company Car (Field Only) 2009-Mar ,travel and entertainment company car field only akorn inc ground transportation company car field only
Passenger Road Transportation,Comprehensive Capital Corp                              /Bd Company Car (Field Only) 2008-May  Company Car (Field Only) Ground Transportation Travel and Entertainment,comprehensive capital corp company car field only company car field only ground transportation travel and entertainment
Property Services,"Base Rent Store Management Cv Brokerage, Inc 2003May Lease/Rent Real Estate",base rent store management brokerage inc lease rent real estate
Property Services,Store Fixtures Sep 2010 Store Construction Impala Platinum Holdings Ltd/Adr/ Fixtures Store Fixtures,store fixtures sep store construction impala platinum holdings ltd adr fixtures store fixtures
Property Services,Baltimore Gas & Electric Co Base Rent 2014Jul Lease/Rent Real Estate Store Management,baltimore gas electric base rent lease rent real estate store management
Property Services,Store Management Base Rent Real Estate Lease/Rent Apr 2003 Barecap Inc,store management base rent real estate lease rent apr barecap inc
Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Oct2012 Auto Leasing and Maintenance Other Corporate Services,auto passenger road transportation repair and maintenance corporate services daly john auto leasing and maintenance other corporate services
Property Services,Apr-2005 Arabian American Development Co Final Site Clean Up General Requirements Store Construction General Contractor,arabian american development final site clean general requirements store construction general contractor
Property Services,Base Rent Dec2019 Store Management Continental Casualty Co Real Estate Lease/Rent,base rent store management continental casualty real estate lease rent
Property Services,Store Management Base Rent Real Estate Lease/Rent Apr2012 Bancwest Corp/Hi,store management base rent real estate lease rent bancwest corp
Human Resources,Retirement and Pension Funds Corporate Services Essex Group Inc 2015Feb Benefits Human Resources,retirement and pension funds corporate services essex group inc benefits human resources
Property Services,General Requirements General Contractor Apr2012 American Pad & Paper Co Store Construction Final Site Clean Up,general requirements general contractor american pad paper store construction final site clean
Property Services,Base Rent Mar2008 Store Management Comforce Corp Real Estate Lease/Rent,base rent store management comforce corp real estate lease rent
Advertising,Post Card/Mailer SMAP El Paso Natural Gas Co Mar2014 Direct Mail Printed Collateral,post card mailer smap paso natural gas direct mail printed collateral
