Category,Item_Description_PREPROCESSED
Agency Fee,agency fees commissions production ames department stores inc smap other agency
Passenger Road Transportation,company car field only travel and entertainment air products chemicals inc ground transportation company car field only
Property Services,real estate store management lease rent base rent ferguson marshall
Passenger Road Transportation,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only butler manufacturing
Property Services,store construction general requirements capital southwest corp general contractor final site clean
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only nov metric capital corp
Property Services,general contractor facility construction general requirements final site clean evans inc
Property Services,facility construction general requirements chase investment counsel corp general contractor final site clean
Labour,contingent labor temp labor corporate services baird patrick inc human resources contingent labor temp labor
Property Services,facility construction final site clean general contractor general requirements apr flightsafety international inc
Passenger Road Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Property Services,lease rent real estate systems inc store management base rent
Passenger Road Transportation,travel and entertainment company car field only akorn inc ground transportation company car field only
Passenger Road Transportation,comprehensive capital corp company car field only company car field only ground transportation travel and entertainment
Property Services,base rent store management brokerage inc lease rent real estate
Property Services,store fixtures sep store construction impala platinum holdings ltd adr fixtures store fixtures
Property Services,baltimore gas electric base rent lease rent real estate store management
Property Services,store management base rent real estate lease rent apr barecap inc
Passenger Road Transportation,auto passenger road transportation repair and maintenance corporate services daly john auto leasing and maintenance other corporate services
Property Services,arabian american development final site clean general requirements store construction general contractor
Property Services,base rent store management continental casualty real estate lease rent
Property Services,store management base rent real estate lease rent bancwest corp
Human Resources,retirement and pension funds corporate services essex group inc benefits human resources
Property Services,general requirements general contractor american pad paper store construction final site clean
Property Services,base rent store management comforce corp real estate lease rent
Advertising,post card mailer smap paso natural gas direct mail printed collateral
Labour,contingent labor temp labor corporate services bdi investment corp contingent labor temp labor human resources
Advertising,cone mills corp post card mailer direct mail printed collateral smap
Advertising,smap media buy traditional data general corp national advertising newspaper
Property Services,real estate store management lease rent base rent cazenove inc
Agency Fee,agency fees commissions production allen group inc smap other agency
Property Services,american family life insurance base rent lease rent real estate store management
Labour,contingent labor temp labor corporate services american cattle apr contingent labor temp labor human resources
Agency Fee,smap other agency production agency fees commissions digital equipment corp
Property Services,erly industries inc final site clean general requirements store construction general contractor
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only akorn inc
Passenger Road Transportation,company car field only travel and entertainment fort howard corp jul company car field only ground transportation
Advertising,national advertising smap media buy traditional outdoor out home castle
Property Services,fixtures store construction store fixtures store fixtures amp inc
Property Services,fixtures store construction store fixtures store fixtures aerovox corp
Passenger Road Transportation,other corporate services auto leasing and maintenance auto leasing butler manufacturing corporate services
Passenger Road Transportation,jul akorn inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Property Services,emc energies inc base rent lease rent store management real estate
Passenger Road Transportation,oct fort howard corp company car field only company car field only travel and entertainment ground transportation
Property Services,real estate lease rent base rent commonwealth edison store management
Agency Fee,agency fees commissions production boeing smap other agency
Advertising,digital paid media media buy mobile mail direct messaging media buy boston inc smap
Passenger Road Transportation,cooper laboratories inc stockholders liquidating trust travel and entertainment ground transportation company car field only company car field only
Property Services,lease rent real estate cazenove inc store management base rent
Passenger Road Transportation,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Advertising,smap talent artists models for trade show events and promotions trade show expenses controls inc
Human Resources,corporate services workmen insurance central ohio coal commercial insurance workmen insurance
Property Services,store management base rent real estate lease rent twenty services inc
Passenger Road Transportation,butler manufacturing auto leasing auto leasing and maintenance other corporate services corporate services
Property Services,first lexington capital corp adv base rent lease rent store management real estate
Passenger Road Transportation,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance jun daly john
Property Services,chesapeake utilities corp base rent lease rent store management real estate
Labour,contingent labor temp labor corporate services commercial metals nov contingent labor temp labor human resources
Passenger Road Transportation,travel and entertainment company car field only texas new mexico power ground transportation company car field only
Property Services,seymour chapnick final site clean general requirements store construction general contractor
Property Services,asia supernet corp store construction general contractor general requirements final site clean
Passenger Road Transportation,brother industries ltd adr travel and entertainment ground transportation company car field only company car field only
Advertising,charter communications inc smap printed collateral direct mail post card mailer
Passenger Road Transportation,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance oct daly john
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only fort howard corp
Passenger Road Transportation,travel and entertainment company car field only fortune national corp ground transportation company car field only
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only fortune natural resources corp
Property Services,bartlett adv base rent lease rent store management real estate
Property Services,store management base rent real estate lease rent continental casualty
Passenger Road Transportation,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
Property Services,general contractor general requirements final site clean ealing corp store construction
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only metric capital corp
Advertising,production smap artworking typesetting prototype and comp production packaging design champion parts inc
Property Services,first national nebraska inc base rent sep lease rent real estate store management
Property Services,real estate lease rent base rent atwood oceanics inc store management
Advertising,events and promotions smap trade show expenses talent artists models for trade show echlin inc
Property Services,base rent store management tranzonic companies real estate lease rent
Agency Fee,other agency smap first wilkow venture agency fees commissions production
Passenger Road Transportation,travel and entertainment company car field only metric capital corp ground transportation company car field only
Property Services,base rent store management three departments inc lease rent real estate
Passenger Road Transportation,travel and entertainment company car field only air products chemicals inc ground transportation company car field only
Property Services,campbell kenneth base rent lease rent real estate store management
Property Services,mar dollar general corp final site clean general requirements store construction general contractor
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only chyron corp
Property Services,real estate lease rent base rent frequency electronics inc store management
Passenger Road Transportation,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
Agency Fee,dow jones inc public relations agency agency fees commissions smap events and promotions
Advertising,national advertising smap media buy traditional outdoor out home apr cgg holding inc
Labour,american locker group inc contingent labor temp labor contingent labor temp labor human resources corporate services
Passenger Road Transportation,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,air products chemicals inc company car field only company car field only travel and entertainment ground transportation
Property Services,general contractor store construction general requirements final site clean nov american pad paper
Passenger Road Transportation,other corporate services corporate services auto leasing and maintenance auto leasing dec butler manufacturing
Property Services,ameren illinois store management real estate lease rent base rent
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only fox pitt kelton inc
Labour,texas american resources inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,world wide ltd contingent labor temp labor contingent labor temp labor human resources corporate services
Property Services,real estate lease rent base rent deere john capital corp dec store management
Advertising,national advertising media buy traditional newspaper certron corp smap
Passenger Road Transportation,travel and entertainment company car field only fort howard corp ground transportation company car field only
Passenger Road Transportation,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Property Services,base rent store management coventry care inc real estate lease rent
Agency Fee,smap other agency production agency fees commissions jul century properties equity partnership
Passenger Road Transportation,bodell overcash anderson inc auto passenger road transportation repair and maintenance auto leasing and maintenance corporate services other corporate services
Property Services,real estate store management lease rent base rent american general equity services corporation
Passenger Road Transportation,auto leasing mar corporate services corning inc other corporate services auto leasing and maintenance
Advertising,cambex corp outdoor out home nov media buy traditional national advertising smap
Advertising,artworking typesetting production froley revy investment inc smap prototype and comp production packaging design
Property Services,general contractor general requirements final site clean franklin resources inc store construction
Passenger Road Transportation,company car field only travel and entertainment fortune national corp company car field only ground transportation
Property Services,brl enterprises inc base rent lease rent real estate store management
Property Services,final site clean may store construction dentsply international inc general contractor general requirements
Advertising,aquila distributors inc prototype and comp production packaging design jul artworking typesetting production smap
Labour,contingent labor temp labor corporate services badger meter inc human resources contingent labor temp labor
Advertising,events and promotions trade show expenses talent artists models for trade show dewey electronics corp smap
Property Services,store fixtures store construction smith brown groover inc fixtures store fixtures
Property Services,store management lease rent barecap inc real estate base rent
Property Services,general contractor general requirements final site clean chubb corp store construction
Passenger Road Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
Passenger Road Transportation,texas new mexico power travel and entertainment ground transportation company car field only company car field only
Property Services,general contractor store construction general requirements final site clean ealing corp
Passenger Road Transportation,company car field only travel and entertainment brother industries ltd adr company car field only ground transportation
Labour,cgs scientific corp contingent labor temp labor contingent labor temp labor corporate services human resources
Advertising,magazines smap consolidated tomoka land jun media buy traditional national advertising
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only akzo nobel
Property Services,real estate store management lease rent base rent apr central hudson gas electric corp
Passenger Road Transportation,company car field only ground transportation camelot corp travel and entertainment company car field only
Advertising,smap catalogue national advertising media buy traditional cannell peter inc
Property Services,store fixtures fixtures smith brown groover inc store construction store fixtures
Property Services,store management base rent real estate lease rent aug albert fried llc
Labour,contingent labor temp labor corporate services avnet inc contingent labor temp labor human resources
Passenger Road Transportation,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
Advertising,smap media buy traditional designatronics inc national advertising outdoor out home
Passenger Road Transportation,company car field only travel and entertainment metric capital corp aug company car field only ground transportation
Property Services,sep dollar general corp final site clean general requirements store construction general contractor
Passenger Road Transportation,company car field only travel and entertainment chyron corp ground transportation company car field only
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only dec texas new mexico power
Labour,contingent labor temp labor corporate services clarkson industries inc contingent labor temp labor human resources
Passenger Road Transportation,company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust company car field only ground transportation
Property Services,final site clean store construction bromar inc feb general requirements general contractor
Passenger Road Transportation,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only brother industries ltd adr
Passenger Road Transportation,ground transportation company car field only company car field only metric capital corp travel and entertainment
Advertising,artworking typesetting production florida public utilities smap prototype and comp production packaging design
Property Services,base rent store management academic computer systems inc real estate lease rent
Property Services,sep dravo corp final site clean general requirements store construction general contractor
Passenger Road Transportation,company car field only travel and entertainment consolidated edison new york inc ground transportation company car field only
Passenger Road Transportation,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing
Advertising,champion parts inc prototype and comp production packaging design artworking typesetting smap production
Labour,human resources corporate services contingent labor temp labor contingent labor temp labor essex group inc
Passenger Road Transportation,daly john company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,fortune national corp travel and entertainment ground transportation company car field only company car field only
Property Services,general contractor general requirements final site clean crane facility construction
Passenger Road Transportation,air products chemicals inc company car field only company car field only travel and entertainment ground transportation
Advertising,aquila distributors inc prototype and comp production packaging design artworking typesetting production smap
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only fort howard corp
Advertising,smap trade show expenses ferro corp events and promotions talent artists models for trade show
Property Services,amsted industries inc base rent lease rent store management real estate
Passenger Road Transportation,other corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john may corporate services
Advertising,smap artworking typesetting aquila distributors inc production prototype and comp production packaging design jan
Passenger Road Transportation,fortune natural resources corp company car field only company car field only ground transportation travel and entertainment
Property Services,consil corp final site clean general requirements store construction general contractor
Passenger Road Transportation,burtschy lawrence robert adv company car field only apr company car field only ground transportation travel and entertainment
Passenger Road Transportation,travel and entertainment company car field only chyron corp ground transportation company car field only
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only texas new mexico power
Passenger Road Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
Property Services,final site clean store construction american pad paper general contractor general requirements
Advertising,production smap artworking typesetting prototype and comp production packaging design legg mason wood walker inc
Labour,corporate services contingent labor temp labor foodarama supermarkets inc human resources contingent labor temp labor dec
Property Services,store construction general requirements arabian american development general contractor final site clean
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only hornblower weeks inc
Passenger Road Transportation,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
Advertising,jul cantel industries inc catalogue media buy traditional smap national advertising
Property Services,building and property insurance corporate services avery dennison corp commercial insurance building and property insurance
Property Services,general contractor general requirements final site clean chubb corp jun store construction
Advertising,smap media buy traditional brokerage inc national advertising catalogue
