,Category,Item_Description_PREPROCESSED
0,Agency Fee,Agency Fees Commissions Production Ames Department Stores Inc SMAP Other Agency
1,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Air Products Chemicals Inc Ground Transportation Miscellaneous Company Car Field Only
2,Property Services,Real Estate Store Management Lease Rent Base Rent Ferguson Marshall
3,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
4,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Butler Manufacturing
5,Property Services,Store Construction General Requirements Capital Southwest Corp General Contractor Final Site Clean
6,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Nov Metric Capital Corp
7,Property Services,General Contractor Facility Construction General Requirements Final Site Clean Evans Inc
8,Property Services,Facility Construction General Requirements Chase Investment Counsel Corp General Contractor Final Site Clean
9,Labour,Contingent Labor Temp Labor Corporate Services Baird Patrick Inc Human Resources Contingent Labor Temp Labor
10,Property Services,Facility Construction Final Site Clean General Contractor General Requirements Apr Flightsafety International Inc
11,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
12,Property Services,Lease Rent Real Estate Systems Inc Store Management Base Rent
13,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akorn Inc Ground Transportation Miscellaneous Company Car Field Only
14,Passenger Road Transportation,Comprehensive Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
15,Property Services,Base Rent Store Management Brokerage Inc Lease Rent Real Estate
16,Property Services,Store Fixtures Sep Store Construction Impala Platinum Holdings Ltd Adr Fixtures Store Fixtures
17,Property Services,Baltimore Gas Electric Base Rent Lease Rent Real Estate Store Management
18,Property Services,Store Management Base Rent Real Estate Lease Rent Apr Barecap Inc
19,Passenger Road Transportation,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John Auto Leasing and Maintenance Other Corporate Services
20,Property Services,Arabian American Development Final Site Clean General Requirements Store Construction General Contractor
21,Property Services,Base Rent Store Management Continental Casualty Real Estate Lease Rent
22,Property Services,Store Management Base Rent Real Estate Lease Rent Bancwest Corp
23,Human Resources,Retirement and Pension Funds Corporate Services Essex Group Inc Benefits Human Resources
24,Property Services,General Requirements General Contractor American Pad Paper Store Construction Final Site Clean
25,Property Services,Base Rent Store Management Comforce Corp Real Estate Lease Rent
26,Advertising,Post Card Mailer SMAP Paso Natural Gas Direct Mail Printed Collateral
27,Labour,Contingent Labor Temp Labor Corporate Services Bdi Investment Corp Contingent Labor Temp Labor Human Resources
28,Advertising,Cone Mills Corp Post Card Mailer Direct Mail Printed Collateral SMAP
29,Advertising,SMAP Media Buy Traditional Data General Corp National Advertising Newspaper
30,Property Services,Real Estate Store Management Lease Rent Base Rent Cazenove Inc
31,Agency Fee,Agency Fees Commissions Production Allen Group Inc SMAP Other Agency
32,Property Services,American Family Life Insurance Base Rent Lease Rent Real Estate Store Management
33,Labour,Contingent Labor Temp Labor Corporate Services American Cattle Apr Contingent Labor Temp Labor Human Resources
34,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Digital Equipment Corp
35,Property Services,Erly Industries Inc Final Site Clean General Requirements Store Construction General Contractor
36,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc
37,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fort Howard Corp Jul Miscellaneous Company Car Field Only Ground Transportation
