Category,Item_Description,UNSPSC_Segment_Code
Editorial and Design and Graphic and Fine Art Services,Agency Fees & Commissions 3 Production Jun-2016 Ames Department Stores Inc SMAP Other Agency,82000000
Editorial and Design and Graphic and Fine Art Services,Miscellaneous Company Car (Field Only) Aug2009 Travel and Entertainment Air Products & Chemicals Inc /De/ Ground Transportation Miscellaneous Company Car (Field Only),82000000
Editorial and Design and Graphic and Fine Art Services,Real Estate Store Management Lease/Rent Base Rent May-2013 Ferguson Marshall M,82000000
Editorial and Design and Graphic and Fine Art Services,Corning Inc /Ny Auto Leasing 2010Sep Auto Leasing and Maintenance Other Corporate Services Corporate Services,82000000
Editorial and Design and Graphic and Fine Art Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2014Mar Butler Manufacturing Co,82000000
Editorial and Design and Graphic and Fine Art Services,Store Construction General Requirements Capital Southwest Corp General Contractor Final Site Clean Up 2006Jun,82000000
Editorial and Design and Graphic and Fine Art Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov 2007 Metric Capital Corp                                     /Bd,82000000
Editorial and Design and Graphic and Fine Art Services,General Contractor Facility Construction General Requirements Final Site Clean Up Apr-2006 Evans Inc,82000000
Editorial and Design and Graphic and Fine Art Services,Facility Construction General Requirements Chase Investment Counsel Corp General Contractor Final Site Clean Up Mar-2008,82000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Jun-2000 Corporate Services Baird Patrick & Co Inc Human Resources Contingent Labor/Temp Labor,80000000
Building and Facility Construction and Maintenance Services,Facility Construction Final Site Clean Up General Contractor General Requirements Apr 2016 Flightsafety International Inc,72000000
Transportation and Storage and Mail Services,Jun2013 Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate Sep-2007 E Systems Inc Store Management Base Rent,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only) 2009-Mar ,78000000
Transportation and Storage and Mail Services,Comprehensive Capital Corp                              /Bd Miscellaneous Company Car (Field Only) 2008-May  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,"Base Rent Store Management Cv Brokerage, Inc 2003May Lease/Rent Real Estate",80000000
